id,C00694455,C00693234,C00695510,C00696419,C00694018,C00696948,C00697441,C00693713,C00699090,C00693044,C00698258,C00698050,C00659938,C00508416
C00694455,,111,142,128,118,34,162,6,119,19,11,18,2,4
C00693234,111,,29,49,28,129,70,6,39,6,5,27,3,1
C00695510,142,29,,36,65,8,39,3,31,8,9,14,0,3
C00696419,128,49,36,,66,7,105,0,62,6,16,23,1,6
C00694018,118,28,65,66,,3,24,2,22,6,9,8,0,0
C00696948,34,129,8,7,3,,30,59,21,2,4,11,7,0
C00697441,162,70,39,105,24,30,,3,132,10,14,42,4,4
C00693713,6,6,3,0,2,59,3,,0,2,0,0,1,0
C00699090,119,39,31,62,22,21,132,0,,13,14,16,3,1
C00693044,19,6,8,6,6,2,10,2,13,,1,3,0,0
C00698258,11,5,9,16,9,4,14,0,14,1,,5,2,1
C00698050,18,27,14,23,8,11,42,0,16,3,5,,0,1
C00659938,2,3,0,1,0,7,4,1,3,0,2,0,,1
C00508416,4,1,3,6,0,0,4,0,1,0,1,1,1,