CVC Pilot ID,Faculty Name,Opendate,Cumulative throughput,Race unknown pct,Race known pct,Pct of doses to people of color,American indian or alaskan native,Asian,Black,Hispanic,Multiracial,Pacific Islander,White,Other
AL-01,Jefferson County,4/21/21,"6,872",2.20%,97.80%,73.60%,0.70%,1.10%,64.70%,6.60%,0.40%,0.10%,26.40%,0.00%
CA-02,LA1-CSU LA,2/16/21,"322,570",10.20%,89.80%,72.20%,0.20%,20.10%,5.80%,42.00%,0.00%,0.30%,27.80%,3.80%
CO-01,FEMA Pueblo CVS,4/14/21,"28,246",15.30%,84.70%,44.60%,0.90%,2.10%,2.30%,37.00%,1.30%,0.30%,55.40%,0.70%
FL-01,"Miami Dade Community
 College",3/3/21,"254,582",12.90%,87.10%,89.00%,0.10%,1.40%,6.00%,80.60%,0.70%,0.10%,11.00%,0.10%
FL-02,Duval,3/3/21,"77,032",11.40%,88.60%,48.00%,0.40%,4.70%,33.80%,8.10%,0.90%,0.10%,52.00%,0.10%
FL-03,TGT Track,3/3/21,"165,104",17.10%,82.90%,48.80%,0.40%,4.60%,11.70%,30.60%,1.20%,0.20%,51.20%,0.10%
FL-04,Valencia College,3/3/21,"205,477",13.10%,86.90%,60.60%,0.70%,6.40%,11.90%,39.50%,1.50%,0.50%,39.40%,0.10%
GA-01,Mercedes-Benz Stadium,3/24/21,"241,959",26.50%,73.50%,60.80%,0.10%,10.70%,29.80%,18.20%,0.00%,0.10%,39.20%,1.80%
IL-01,United Center,3/10/21,"302,615",13.20%,86.80%,60.60%,0.20%,11.90%,17.00%,31.30%,0.00%,0.20%,39.40%,0.00%
IN-01,Roosevelt High School,4/7/21,"63,577",0.30%,99.70%,55.70%,0.00%,4.60%,19.00%,17.70%,2.30%,0.00%,44.30%,"12.10
 %"
KY-01,Henderson County,4/29/21,"2,021",5.70%,94.30%,22.50%,0.30%,0.20%,5.40%,15.30%,1.20%,0.00%,77.50%,0.00%
KY-01,Laurel County,4/29/21,"1,419",1.70%,98.30%,7.00%,0.00%,1.30%,1.60%,3.50%,0.60%,0.00%,93.00%,0.00%
LA-01,Bon Carre,4/16/21,"8,639",0.20%,99.80%,69.80%,0.40%,5.10%,53.20%,10.00%,1.00%,0.20%,30.20%,0.00%
MA-01,"Hynes Convention
 Center",3/31/21,"328,870",0.30%,99.70%,41.40%,0.20%,18.30%,4.70%,13.20%,2.20%,0.00%,58.60%,2.80%
MD-01,Greenbelt Metro Station,4/7/21,"119,381",100.00%,0.00%,,,,,,,,,
MI-01,Ford Field,3/24/21,"270,970",14.60%,85.40%,40.40%,0.40%,16.80%,12.80%,6.30%,0.00%,0.20%,59.60%,3.90%
MN-01,Minnesota State Fair,4/14/21,"95,700",1.00%,99.00%,39.30%,0.40%,15.80%,7.50%,8.60%,2.20%,0.10%,60.70%,4.60%
NC-01,Greensboro CVC,3/10/21,"135,934",3.50%,96.50%,52.00%,0.40%,7.30%,23.80%,17.50%,0.00%,0.10%,48.00%,2.90%
NJ-01,"NJIT Wellness & Events
 Center",3/31/21,"285,502",14.00%,86.00%,83.20%,0.40%,17.40%,15.10%,45.50%,0.30%,0.20%,16.80%,4.30%
NY-01,Medgar Evers College,2/24/21,"209,898",24.90%,75.10%,61.40%,0.20%,14.10%,27.80%,15.50%,2.20%,0.00%,38.60%,1.50%
NY-02,York College,2/24/21,"217,403",31.20%,68.80%,87.00%,0.40%,39.20%,20.50%,19.10%,1.20%,0.00%,13.00%,6.50%
NY-03,Yonkers,3/3/21,"69,923",26.10%,73.90%,58.70%,0.10%,7.00%,15.30%,33.40%,1.10%,0.00%,41.30%,1.70%
NY-04,Albany Armory,3/3/21,"57,451",22.50%,77.50%,26.60%,0.20%,8.30%,9.50%,6.10%,1.40%,0.00%,73.40%,1.10%
NY-05,Rochester Kodak,3/3/21,"56,598",23.20%,76.80%,38.30%,0.30%,4.10%,19.20%,13.10%,0.90%,0.00%,61.70%,0.70%
NY-06,Buffalo Delavan Grider,3/3/21,"66,369",20.00%,80.00%,37.00%,0.30%,8.80%,21.10%,4.90%,1.10%,0.00%,63.00%,0.80%
OH-01,Wolstein Center,3/17/21,"258,581",0.00%,100.00%,26.10%,0.20%,6.90%,10.80%,5.00%,1.10%,0.10%,73.90%,2.20%
OK-01,Tulsa Community College,4/21/21,"7,301",11.30%,88.70%,54.50%,3.50%,4.70%,12.10%,32.30%,0.00%,0.60%,45.50%,1.30%
OR-01,Jackson County Expo,4/21/21,"19,944",31.00%,69.00%,30.00%,1.50%,3.00%,1.30%,21.60%,0.00%,0.90%,70.00%,1.60%
PA-01,Center City Philadelphia,3/3/21,"328,530",7.20%,92.80%,53.40%,0.30%,22.60%,16.30%,11.40%,0.00%,0.20%,46.60%,2.70%
SC-01,"Richland Columbia Place
 Mall",4/14/21,"21,208",7.40%,92.60%,72.50%,0.30%,2.90%,56.40%,11.20%,0.00%,0.50%,27.50%,1.20%
TN-01,Maxwell,4/7/21,"41,758",18.50%,81.50%,64.70%,0.20%,5.00%,45.90%,11.70%,0.00%,0.10%,35.30%,1.90%
TX-01,NRG Stadium,2/24/21,"330,379",26.60%,73.40%,79.70%,0.30%,8.40%,17.00%,42.40%,1.70%,0.10%,20.30%,9.90%
TX-02,AT&T Stadium,3/18/21,"163,903",15.30%,84.70%,46.20%,0.50%,9.40%,12.00%,22.50%,0.80%,0.20%,53.80%,0.70%
TX-03,Fair Park,2/24/21,"218,155",56.60%,43.40%,75.10%,0.20%,8.10%,12.80%,52.70%,0.00%,0.10%,24.90%,1.30%
VA-01,Military Circle Mall,3/31/21,"83,733",7.30%,92.70%,54.90%,0.20%,8.40%,31.10%,10.10%,0.00%,0.50%,45.10%,4.50%
WA-01,Yakima,3/31/21,"36,540",10.20%,89.80%,50.60%,0.70%,12.50%,0.90%,33.20%,0.00%,0.30%,49.40%,3.10%
WI-01,Wisconsin Center,4/7/21,"50,810",4.60%,95.40%,48.70%,0.20%,8.60%,17.20%,21.40%,1.10%,0.10%,51.30%,0.00%